,genre,artist_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,liveness_binary,danceability_binary,Major,Minor,A,A#,B,C,C#,D,D#,E,F,F#,G,G#
5532,8,6522,79212,40,0.782,0.7190000000000001,133280,0.39,0.0,0.337,-11.622,0.0526,111.049,1,0.903,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6074,8,5091,32461,35,0.921,0.514,41773,0.0749,0.0,0.188,-14.696,0.0439,72.727,1,0.369,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6145,8,4860,4063,35,0.525,0.564,176067,0.865,0.0,0.969,-5.996,0.269,128.02700000000002,1,0.601,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6161,8,2471,91110,36,0.0504,0.612,185381,0.848,0.0,0.117,-4.43,0.106,77.515,1,0.461,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6771,1,7301,72905,44,0.0321,0.507,178640,0.857,0.0759,0.103,-7.409,0.0452,134.423,1,0.0781,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6993,1,2891,26192,46,0.45,0.311,94987,0.735,0.0138,0.688,-6.164,0.246,113.484,1,0.443,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7013,1,1181,68842,45,0.65,0.215,226333,0.503,0.0283,0.098,-16.317999999999998,0.0463,186.866,1,0.35,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7141,1,10500,94673,46,0.0252,0.371,233747,0.6679999999999999,4.84e-05,0.0962,-6.032,0.16,83.75,1,0.26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7294,1,7346,57992,44,0.8190000000000001,0.33,168363,0.481,0.246,0.122,-11.734000000000002,0.105,79.593,1,0.483,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7342,1,3848,68125,0,0.799,0.519,24000,0.264,0.000282,0.313,-18.289,0.0554,124.719,1,0.392,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7590,1,10725,51175,44,0.0016300000000000002,0.52,209387,0.812,0.000376,0.071,-5.229,0.059,153.821,1,0.607,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8123,1,8927,83254,63,0.907,0.526,212482,0.235,4.44e-06,0.111,-14.074000000000002,0.0991,91.24,1,0.377,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
