,genre,artist_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,liveness_binary,danceability_binary,Major,Minor,A,A#,B,C,C#,D,D#,E,F,F#,G,G#
13,15,4064,14320,1,0.381,0.451,194360,0.491,0.0,0.152,-8.73,0.0548,71.633,3,0.516,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31,15,8280,24350,0,0.932,0.348,127507,0.2,0.919,0.109,-14.06,0.0436,99.028,3,0.188,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
59,15,7663,37396,0,0.615,0.394,121480,0.384,0.0106,0.119,-10.737,0.0294,91.858,3,0.33,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
62,15,2722,38857,0,0.91,0.388,118600,0.448,0.0,0.349,-6.823,0.0558,90.92,3,0.679,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
65,15,1893,40407,0,0.398,0.633,211133,0.605,0.000169,0.109,-5.584,0.0288,90.014,3,0.727,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
71,15,4064,46227,0,0.79,0.701,133982,0.34700000000000003,3.16e-06,0.249,-10.82,0.627,104.997,3,0.5710000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
88,15,8128,53775,6,0.604,0.108,200053,0.196,0.327,0.388,-14.415,0.0361,167.96,3,0.0625,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
90,15,4653,55296,0,0.738,0.5710000000000001,167053,0.204,0.0,0.319,-15.638,0.878,173.59099999999995,3,0.6729999999999999,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
98,15,3430,61435,1,0.463,0.188,67427,0.00154,0.8809999999999999,0.11,-25.274,0.0473,65.472,3,0.539,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
102,15,1877,64074,6,0.5660000000000001,0.522,214596,0.392,5.03e-06,0.15,-9.537,0.069,114.95,3,0.36,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
103,18,8316,89551,63,0.32299999999999995,0.685,186467,0.61,0.0,0.102,-5.221,0.0439,94.384,3,0.32299999999999995,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
141,18,5469,6746,62,0.447,0.789,181267,0.435,0.0,0.135,-7.042000000000002,0.0599,72.973,3,0.456,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
152,18,2576,98012,66,0.0978,0.583,197720,0.435,0.0,0.0763,-6.3889999999999985,0.0478,128.035,3,0.129,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
216,15,4064,65725,0,0.993,0.405,176907,0.0775,0.00304,0.139,-18.145,0.0414,81.814,3,0.355,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
220,15,4064,67434,0,0.99,0.206,170107,0.196,0.0452,0.117,-13.97,0.0371,82.29299999999998,3,0.0986,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
225,15,4064,71265,0,0.992,0.509,157347,0.0133,0.0119,0.121,-24.515,0.058,73.15899999999998,3,0.151,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
232,15,2013,80327,2,0.952,0.306,235915,0.435,2.29e-05,0.129,-7.9060000000000015,0.0316,159.204,3,0.236,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
234,15,4064,83646,0,0.0575,0.5770000000000001,21667,0.403,0.0,0.317,-21.688,0.85,113.777,3,0.967,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
243,15,6176,89272,0,0.8640000000000001,0.299,169013,0.259,0.0,0.31,-8.062999999999999,0.0365,170.80700000000004,3,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
257,15,8128,99227,0,0.995,0.512,136120,0.0297,0.8809999999999999,0.0991,-23.948,0.0403,68.5,3,0.258,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
261,15,4064,101754,0,0.942,0.5479999999999999,154240,0.0469,4.78e-05,0.204,-15.033,0.0459,108.703,3,0.159,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
262,15,1054,102043,0,0.585,0.6459999999999999,203964,0.5379999999999999,0.0,0.112,-8.222999999999999,0.0232,103.986,3,0.36,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
266,15,4064,103956,0,0.981,0.471,141177,0.0465,0.00334,0.238,-14.248,0.0344,87.898,3,0.413,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
281,15,4653,4846,0,0.618,0.647,62019,0.682,0.0,0.278,-11.135,0.04,62.363,3,0.154,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
285,15,6469,7076,0,0.931,0.48,191217,0.398,0.0,0.941,-12.425,0.445,67.709,3,0.491,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300,15,8280,17149,0,0.991,0.423,119067,0.221,0.8809999999999999,0.136,-16.081,0.0733,100.269,3,0.342,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
317,15,4064,34764,0,0.987,0.5870000000000001,143333,0.00689,0.0,0.0985,-20.313,0.11,167.676,3,0.482,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
319,15,1893,37902,0,0.698,0.632,112893,0.41,0.0,0.0656,-12.337,0.138,190.48,3,0.8809999999999999,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
334,15,4298,52717,1,0.8140000000000001,0.34700000000000003,102260,0.376,0.0,0.338,-13.415,0.0678,65.432,3,0.459,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
336,15,3430,53432,0,0.7609999999999999,0.251,150027,0.16,0.984,0.0939,-18.699,0.0374,89.66799999999998,3,0.204,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
344,15,1893,60009,0,0.908,0.659,52627,0.177,0.0,0.131,-17.04,0.578,79.31,3,0.535,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
349,15,1893,62429,0,0.446,0.425,203573,0.2,0.0,0.0921,-14.223,0.0864,130.059,3,0.482,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
360,15,1893,73878,0,0.6629999999999999,0.618,156933,0.428,0.0,0.187,-9.936,0.029,119.958,3,0.475,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
364,15,4064,75800,0,0.652,0.521,22253,0.268,0.0,0.6679999999999999,-20.397,0.522,166.39700000000005,3,0.888,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
374,15,4064,87803,4,0.927,0.249,189947,0.27,0.0897,0.297,-12.216,0.0316,88.5,3,0.194,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
377,15,4064,88577,0,0.741,0.474,149533,0.304,9.21e-06,0.29600000000000004,-9.48,0.0311,103.102,3,0.593,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
391,15,1893,98565,0,0.546,0.252,45140,0.316,1.05e-05,0.126,-9.27,0.0325,83.04799999999999,3,0.204,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
392,15,3635,100351,0,0.8140000000000001,0.496,22440,0.268,0.8,0.208,-12.714,0.0666,120.3,3,0.547,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
411,0,3729,5756,23,0.7929999999999999,0.349,228147,0.0913,1.61e-06,0.141,-15.003,0.0396,120.405,3,0.15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
