,genre,artist_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,liveness_binary,danceability_binary,Major,Minor,A,A#,B,C,C#,D,D#,E,F,F#,G,G#
2,15,5073,2882,3,0.952,0.6629999999999999,170267,0.131,0.0,0.103,-13.879,0.0362,99.488,5,0.368,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
43,15,4064,29814,1,0.7120000000000001,0.63,56067,0.606,0.0,0.614,-10.914,0.961,167.889,5,0.499,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
55,15,1893,36024,0,0.7909999999999999,0.447,107703,0.253,0.0,0.0919,-11.927,0.0349,107.94,5,0.469,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
123,18,7573,37507,67,0.0727,0.344,212880,0.537,0.000127,0.225,-8.215,0.079,82.87799999999999,5,0.453,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
134,18,10602,16801,68,0.305,0.539,199627,0.8859999999999999,0.0,0.0955,-4.332,0.493,109.016,5,0.562,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
137,18,2007,21287,61,0.0101,0.595,202943,0.695,0.0,0.157,-4.634,0.306,139.037,5,0.401,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
139,18,3913,106007,60,0.865,0.535,205973,0.395,1.7800000000000002e-05,0.0996,-11.887,0.0614,102.206,5,0.147,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
145,18,10602,2822,71,0.0983,0.596,216689,0.557,0.0,0.0565,-7.522,0.134,133.247,5,0.6609999999999999,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
156,18,4497,81842,70,0.31,0.596,232573,0.6609999999999999,0.0,0.0847,-6.239,0.226,129.491,5,0.86,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
179,18,3913,84700,61,0.725,0.324,172240,0.493,0.000111,0.116,-9.995,0.0723,86.126,5,0.212,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
180,18,9435,60204,55,0.18600000000000005,0.514,161239,0.613,0.0,0.284,-6.506,0.212,111.913,5,0.439,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
191,18,6474,37104,64,0.00541,0.5379999999999999,214200,0.677,0.0,0.236,-6.099,0.187,132.346,5,0.913,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
195,18,9435,91927,53,0.000582,0.604,211861,0.5770000000000001,0.0,0.102,-7.647,0.243,120.033,5,0.315,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
230,15,4064,79398,2,0.974,0.271,216840,0.182,0.0873,0.298,-15.927,0.0393,76.749,5,0.263,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
259,15,4064,99622,1,0.498,0.338,175280,0.333,4.54e-06,0.7959999999999999,-13.417,0.0641,144.299,5,0.204,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
263,15,2722,102196,0,0.921,0.267,116960,0.504,0.0,0.101,-7.944,0.0617,172.465,5,0.369,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
287,15,1893,9468,0,0.526,0.373,103288,0.416,0.0,0.331,-10.554,0.0555,172.218,5,0.7829999999999999,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
297,15,4659,15839,0,0.909,0.624,149360,0.171,0.0,0.183,-22.171,0.908,170.418,5,0.7120000000000001,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
305,15,4298,23311,1,0.8270000000000001,0.203,72353,0.312,3.28e-05,0.62,-11.774,0.029,175.601,5,0.174,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
329,15,4064,45746,4,0.301,0.414,132880,0.493,0.0,0.414,-7.979,0.0329,101.799,5,0.691,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
338,15,569,56696,0,0.988,0.35200000000000004,27733,0.0886,0.207,0.165,-10.681,0.0321,98.106,5,0.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
375,15,2722,88143,0,0.946,0.256,125907,0.373,0.0,0.134,-7.6110000000000015,0.0401,180.233,5,0.155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
422,0,6269,92126,18,0.846,0.603,99973,0.396,0.0,0.0735,-7.451,0.0665,125.115,5,0.593,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
431,0,10232,39500,13,0.973,0.213,156144,0.0401,0.000461,0.0964,-22.201,0.034,76.003,5,0.0742,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
438,0,10232,78915,12,0.985,0.261,177844,0.0658,3.24e-06,0.105,-19.158,0.0348,77.112,5,0.0662,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
454,0,10232,54630,8,0.977,0.243,225850,0.0622,0.0566,0.0907,-19.874,0.0383,134.759,5,0.038,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
458,0,10232,37596,9,0.98,0.218,94428,0.073,0.000179,0.117,-19.452,0.0328,81.993,5,0.239,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
467,0,10232,50361,6,0.974,0.234,190572,0.0932,0.000282,0.114,-17.609,0.0336,123.619,5,0.0384,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
489,0,10232,27874,5,0.989,0.297,156652,0.0427,0.00474,0.23,-20.471,0.0369,110.065,5,0.131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
497,0,10013,13534,1,0.956,0.259,201040,0.0525,0.000205,0.113,-21.525,0.0352,107.431,5,0.0775,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
875,1,1640,92907,73,0.000194,0.6559999999999999,192790,0.821,0.00232,0.101,-4.838,0.0325,117.948,5,0.7909999999999999,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
911,1,5002,100644,65,0.416,0.464,176804,0.378,0.0917,0.0966,-11.354,0.14300000000000002,164.486,5,0.037000000000000005,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1049,1,3432,32660,60,0.983,0.513,66786,0.131,0.00414,0.12,-12.787,0.467,105.808,5,0.8140000000000001,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1150,1,4779,28215,56,0.879,0.484,227133,0.244,1.95e-06,0.104,-12.716,0.0543,126.098,5,0.349,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1223,1,7459,56945,57,0.56,0.428,177172,0.511,0.0,0.22,-6.988,0.153,143.684,5,0.33,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1245,1,6938,74541,56,0.6920000000000001,0.586,184889,0.404,0.00372,0.0908,-10.402,0.21,90.563,5,0.34700000000000003,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1247,1,3465,81256,61,0.358,0.617,192267,0.88,0.0,0.224,-6.605,0.426,109.158,5,0.6779999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1291,1,6701,19563,57,0.59,0.637,179027,0.512,0.000464,0.0712,-10.027,0.0978,109.492,5,0.33,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1870,1,4779,39613,58,0.373,0.48,178920,0.643,1.16e-05,0.179,-7.62,0.217,117.443,5,0.237,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2015,1,298,22943,68,0.218,0.408,230000,0.5820000000000001,0.0,0.159,-8.305,0.0508,114.926,5,0.365,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2404,1,9470,100513,54,0.000106,0.31,191373,0.94,2.21e-06,0.205,-3.395,0.106,128.68200000000002,5,0.454,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2410,1,7816,81588,56,0.00297,0.18,201093,0.7979999999999999,9.44e-05,0.22,-4.149,0.0429,141.048,5,0.134,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2979,8,6486,89030,38,0.202,0.736,144093,0.71,0.0,0.13699999999999998,-8.736,0.0431,103.961,5,0.7509999999999999,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3357,1,8545,86434,52,0.375,0.73,180415,0.557,0.0,0.476,-10.61,0.313,114.587,5,0.438,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3369,1,10422,27093,55,0.0199,0.434,232813,0.868,0.0,0.162,-3.503,0.0366,162.969,5,0.366,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3453,1,1196,59393,56,0.03,0.667,206472,0.879,0.0,0.157,-4.197,0.359,119.746,5,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3494,1,8601,58254,53,0.278,0.889,171013,0.596,0.0,0.0798,-8.23,0.397,97.994,5,0.899,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3613,1,7816,2159,55,0.129,0.362,231600,0.371,0.0441,0.121,-8.383,0.0324,148.376,5,0.107,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3840,1,60,16841,54,0.226,0.911,185866,0.603,1.42e-05,0.0924,-4.787,0.234,111.835,5,0.249,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3923,1,4779,15498,51,0.274,0.524,213040,0.464,0.0,0.125,-10.446,0.142,119.149,5,0.416,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3935,1,10440,67355,49,0.8059999999999999,0.5539999999999999,60000,0.155,0.145,0.105,-18.272,0.469,151.29,5,0.325,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3989,1,5285,75171,51,0.161,0.6579999999999999,204290,0.499,0.0,0.118,-8.906,0.116,109.893,5,0.633,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4001,1,5659,74949,54,0.688,0.514,193253,0.496,0.00675,0.168,-6.5539999999999985,0.226,95.512,5,0.481,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4324,1,3172,98992,52,0.000934,0.32,209092,0.8640000000000001,0.0488,0.37,-4.882,0.0549,109.54,5,0.277,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4388,1,10440,13038,47,0.662,0.815,60000,0.219,0.0,0.106,-12.898,0.512,119.977,5,0.162,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4400,1,5274,62702,55,0.409,0.7490000000000001,192000,0.5660000000000001,0.0,0.0918,-7.792999999999998,0.268,72.008,5,0.795,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4460,1,2891,88768,50,0.513,0.58,104427,0.722,0.0,0.405,-5.686,0.271,47.917,5,0.777,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
