,genre,artist_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,liveness_binary,danceability_binary,Major,Minor,A,A#,B,C,C#,D,D#,E,F,F#,G,G#
4480,1,8683,34100,47,0.7140000000000001,0.603,143570,0.433,0.0407,0.105,-5.935,0.338,63.545,5,0.6679999999999999,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4606,1,467,93092,56,0.115,0.636,238747,0.946,3.75e-05,0.0416,-4.683,0.332,125.085,5,0.8909999999999999,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4884,8,8141,103515,39,0.905,0.272,207760,0.158,0.0,0.298,-9.24,0.0339,169.908,5,0.0995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5612,8,2178,3311,36,0.321,0.5760000000000001,216307,0.35600000000000004,0.0,0.0693,-8.767000000000001,0.0307,76.72399999999998,5,0.515,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5650,8,1916,77852,36,0.316,0.289,206027,0.5870000000000001,0.0,0.13699999999999998,-5.314,0.0342,99.657,5,0.5479999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5685,8,3104,95698,35,0.784,0.5,226065,0.448,0.0,0.976,-8.762,0.0503,131.909,5,0.3720000000000001,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5751,8,4801,91844,36,0.302,0.383,233973,0.672,1.51e-06,0.201,-6.089,0.0339,106.454,5,0.25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5860,8,159,45228,34,0.6859999999999999,0.541,224173,0.408,0.0,0.172,-8.656,0.0276,71.437,5,0.271,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6077,8,4605,55759,39,0.332,0.596,200680,0.35,4.11e-06,0.247,-10.67,0.0328,78.289,5,0.493,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6125,8,5598,5218,36,0.635,0.502,225680,0.302,0.0,0.111,-8.106,0.0269,143.718,5,0.228,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6129,8,3104,32651,34,0.7659999999999999,0.5539999999999999,181452,0.532,3.26e-05,0.972,-9.033,0.0378,120.198,5,0.696,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6251,8,1489,35736,39,0.597,0.52,148000,0.525,0.0,0.0847,-7.449,0.0412,147.601,5,0.743,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6364,9,8898,40547,72,0.0197,0.399,216120,0.787,6.07e-05,0.0685,-2.88,0.0499,117.089,5,0.5720000000000001,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6398,1,5469,8782,50,0.908,0.536,164257,0.318,0.0,0.115,-9.878,0.0478,109.674,5,0.461,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6443,1,4390,66920,47,0.0535,0.23,119387,0.77,0.000156,0.644,-6.349,0.337,173.442,5,0.588,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6499,1,169,62900,48,0.845,0.599,189786,0.27,0.00042,0.11,-17.637999999999995,0.0905,124.155,5,0.377,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6539,1,3782,84944,43,0.0948,0.7979999999999999,162080,0.922,0.000234,0.0698,-3.382,0.0364,96.4,5,0.805,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6574,1,607,22982,48,0.688,0.375,209134,0.418,0.0,0.371,-5.999,0.036000000000000004,136.319,5,0.287,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6612,1,10270,63482,49,0.00201,0.394,208133,0.8590000000000001,0.233,0.1,-3.851,0.0409,136.075,5,0.511,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6646,1,2073,99023,46,0.0527,0.436,220345,0.631,0.0686,0.14,-9.101,0.192,153.295,5,0.413,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6738,1,6337,3425,46,0.298,0.312,239827,0.688,0.00162,0.321,-7.225,0.261,141.7,5,0.39,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6790,1,8327,45764,48,0.000271,0.182,181453,0.978,0.0,0.118,-3.768,0.149,197.105,5,0.5660000000000001,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6949,1,3521,74644,53,0.00252,0.465,205587,0.701,0.0447,0.0683,-6.8279999999999985,0.0337,144.931,5,0.38,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7075,1,4779,6559,46,0.0871,0.607,216093,0.388,0.0,0.104,-12.402,0.329,107.091,5,0.404,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7165,1,1742,72749,44,0.0827,0.46,235385,0.421,0.00268,0.138,-10.347,0.0432,182.078,5,0.141,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7188,1,4779,24791,46,0.33,0.449,199187,0.478,1.3800000000000003e-05,0.0923,-7.513,0.0559,100.44,5,0.49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7253,1,7753,4831,52,0.512,0.362,161893,0.377,0.101,0.175,-10.142,0.034,112.393,5,0.147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7541,1,7996,67864,44,0.398,0.293,209280,0.5670000000000001,0.0030800000000000003,0.0981,-4.713,0.0512,172.945,5,0.24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7650,1,5285,88821,45,0.0965,0.421,204290,0.546,0.0,0.0998,-9.424,0.112,101.25,5,0.6809999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7670,1,2972,107844,44,0.0693,0.569,109705,0.6709999999999999,0.5329999999999999,0.197,-6.0870000000000015,0.257,119.548,5,0.722,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7807,1,8683,34128,45,0.851,0.6659999999999999,144000,0.42,0.534,0.11,-6.699,0.0829,133.015,5,0.637,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7813,1,8153,105920,46,0.438,0.491,167747,0.636,0.0248,0.132,-6.926,0.0614,109.639,5,0.277,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7857,1,7346,51095,46,0.5710000000000001,0.672,218627,0.655,0.0,0.188,-9.768,0.469,113.74,5,0.906,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8024,1,8153,20122,46,0.292,0.55,189480,0.66,0.00111,0.125,-6.857,0.155,108.124,5,0.295,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8045,1,3170,21170,46,0.000852,0.266,217960,0.949,0.000831,0.131,-3.941,0.132,140.145,5,0.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8130,1,8168,107713,45,0.139,0.581,190000,0.619,0.000793,0.0768,-8.122,0.21600000000000005,150.181,5,0.573,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8306,1,9322,61992,46,0.402,0.623,207835,0.377,0.0166,0.105,-10.287,0.0816,122.591,5,0.397,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8377,1,6283,65416,42,0.121,0.285,185455,0.848,8.759999999999999e-05,0.101,-8.809,0.514,81.465,5,0.5770000000000001,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8555,1,4505,38658,46,0.000788,0.395,237800,0.725,0.000147,0.191,-7.63,0.204,158.07399999999996,5,0.117,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8573,1,4779,90275,41,0.6729999999999999,0.412,127560,0.75,1.92e-05,0.195,-6.585,0.278,105.755,5,0.285,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8608,1,8137,57018,39,0.276,0.223,231607,0.597,1.27e-05,0.135,-6.722,0.0693,84.819,5,0.34600000000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8695,1,4332,83662,46,0.0238,0.647,142013,0.5770000000000001,2.18e-06,0.18600000000000005,-5.247000000000001,0.326,122.799,5,0.402,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8791,1,2131,13660,41,0.35100000000000003,0.688,152500,0.387,0.0,0.103,-9.057,0.35,118.206,5,0.562,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8973,1,8017,2741,40,0.172,0.389,186270,0.901,0.5660000000000001,0.4970000000000001,-5.162000000000001,0.0672,104.344,5,0.493,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9042,1,10937,7791,38,0.00549,0.451,88000,0.574,0.955,0.0495,-12.573,0.0374,129.571,5,0.56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9110,9,7251,63631,82,0.0166,0.7659999999999999,174893,0.8809999999999999,2.3e-06,0.34700000000000003,-5.158,0.13699999999999998,112.027,5,0.674,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9124,9,7360,40149,76,0.415,0.578,215671,0.588,0.0,0.114,-4.92,0.255,79.17399999999998,5,0.3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9285,9,5487,92969,72,0.615,0.6,225882,0.412,0.0025,0.134,-9.343,0.344,113.049,5,0.408,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9292,9,7251,23161,76,0.276,0.69,191600,0.7290000000000001,5.08e-05,0.106,-5.08,0.3720000000000001,128.96,5,0.478,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9407,9,1640,92907,76,0.000194,0.6559999999999999,192790,0.821,0.00232,0.101,-4.838,0.0325,117.948,5,0.7909999999999999,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9481,9,11336,193,73,0.34600000000000003,0.522,171240,0.434,9.01e-06,0.107,-9.237,0.179,106.672,5,0.5589999999999999,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9483,9,6197,2569,79,0.506,0.569,205467,0.526,0.0,0.0708,-6.67,0.359,124.969,5,0.474,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9646,9,3016,8048,65,0.295,0.512,154435,0.304,0.0006219999999999999,0.118,-9.19,0.0318,126.078,5,0.172,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9937,9,4497,81842,69,0.31,0.596,232573,0.6609999999999999,0.0,0.0847,-6.239,0.226,129.491,5,0.86,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10022,9,9435,91927,52,0.000582,0.604,211861,0.5770000000000001,0.0,0.102,-7.647,0.243,120.033,5,0.315,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10024,9,9435,60204,53,0.18600000000000005,0.514,161239,0.613,0.0,0.284,-6.506,0.212,111.913,5,0.439,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10396,9,8835,4771,69,0.153,0.745,238707,0.8690000000000001,0.0,0.139,-4.828,0.0574,125.005,5,0.963,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10401,9,3255,85332,69,0.062,0.536,191942,0.721,0.0,0.8240000000000001,-6.44,0.386,117.139,5,0.393,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10456,9,4779,39613,63,0.373,0.48,178920,0.643,1.16e-05,0.179,-7.62,0.217,117.443,5,0.237,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10467,9,2280,21505,66,0.0107,0.573,230713,0.591,0.0,0.455,-6.715,0.331,86.721,5,0.232,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10504,9,6474,37104,63,0.00541,0.5379999999999999,214200,0.677,0.0,0.236,-6.099,0.187,132.346,5,0.913,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10707,9,870,104978,61,0.0827,0.512,218000,0.539,0.0,0.147,-6.267,0.105,125.675,5,0.58,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10742,9,7848,6024,66,0.104,0.637,192599,0.7829999999999999,0.0,0.5710000000000001,-5.228,0.131,133.164,5,0.371,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10790,9,7491,73219,63,0.0256,0.502,194973,0.594,0.0,0.0834,-5.0310000000000015,0.0365,153.687,5,0.349,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10822,9,1717,82820,62,0.4970000000000001,0.49,215670,0.625,0.0,0.118,-7.247999999999998,0.185,78.762,5,0.748,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10897,9,4399,53727,60,0.64,0.458,220053,0.445,0.0,0.118,-8.391,0.361,82.82,5,0.447,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10949,9,9608,25160,61,0.62,0.599,175777,0.4320000000000001,0.00773,0.105,-6.097,0.0451,106.824,5,0.615,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10951,9,7816,2159,59,0.129,0.362,231600,0.371,0.0441,0.121,-8.383,0.0324,148.376,5,0.107,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11020,9,735,8561,68,0.394,0.531,183041,0.472,0.0,0.139,-7.347,0.059,127.48,5,0.445,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11092,9,6341,27063,61,0.298,0.456,219429,0.764,0.0,0.229,-3.584,0.14800000000000002,124.971,5,0.383,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11094,9,9748,55897,71,0.124,0.5820000000000001,234493,0.606,0.00139,0.151,-9.961,0.0289,111.441,5,0.504,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11138,9,5704,102054,63,0.0235,0.5670000000000001,189920,0.544,0.00215,0.0934,-8.476,0.107,126.366,5,0.526,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11143,9,5366,88093,56,0.456,0.479,227755,0.711,0.0,0.215,-4.977,0.236,79.54,5,0.34700000000000003,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11274,9,2124,66618,59,0.0699,0.546,207666,0.586,0.0,0.109,-4.211,0.272,89.089,5,0.8190000000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11515,9,11336,22653,59,0.34600000000000003,0.769,205573,0.536,0.000874,0.086,-7.6320000000000014,0.374,119.939,5,0.63,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11729,9,5366,20315,55,0.246,0.511,164165,0.794,0.0,0.161,-3.854,0.268,119.791,5,0.625,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11899,9,11079,52838,55,0.141,0.524,211401,0.447,0.000398,0.0654,-8.318999999999999,0.093,133.14,5,0.555,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11925,9,1905,24854,55,0.0232,0.39,237973,0.615,0.0,0.324,-6.483,0.111,87.95200000000001,5,0.5660000000000001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12005,9,5366,24953,54,0.0959,0.448,188844,0.795,0.00146,0.158,-5.6389999999999985,0.359,132.72,5,0.473,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12022,9,5130,105579,63,0.484,0.5579999999999999,195533,0.851,0.00787,0.31,-4.12,0.242,126.399,5,0.7040000000000001,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12144,9,1847,87936,55,0.0272,0.412,218507,0.8640000000000001,0.0,0.0808,-3.65,0.13,113.23,5,0.7190000000000001,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12237,9,4504,58807,53,0.0401,0.527,213827,0.631,0.0,0.0801,-5.442,0.198,116.405,5,0.348,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12298,9,1905,2156,49,0.048,0.541,228640,0.953,0.0,0.192,-4.229,0.107,111.378,5,0.856,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12391,9,4779,15498,55,0.274,0.524,213040,0.464,0.0,0.125,-10.446,0.142,119.149,5,0.416,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12433,9,332,33177,57,0.265,0.472,161880,0.5529999999999999,0.0,0.161,-5.5920000000000005,0.223,202.984,5,0.328,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12489,9,7176,4437,53,0.333,0.597,228267,0.638,0.0,0.325,-5.853,0.0723,121.403,5,0.5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12547,9,10804,99733,55,0.221,0.519,229773,0.447,0.0,0.142,-7.332999999999998,0.134,120.086,5,0.36,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
12695,9,3521,74644,57,0.00252,0.465,205587,0.701,0.0447,0.0683,-6.8279999999999985,0.0337,144.931,5,0.38,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12840,9,1841,76966,50,0.14400000000000002,0.688,194428,0.528,0.000164,0.109,-6.997000000000001,0.121,128.511,5,0.8009999999999999,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12950,9,467,93092,59,0.115,0.636,238747,0.946,3.75e-05,0.0416,-4.683,0.332,125.085,5,0.8909999999999999,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12971,9,5196,67117,56,0.5,0.35600000000000004,231413,0.7070000000000001,4.36e-05,0.232,-7.546,0.099,136.25,5,0.506,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
